query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,strong_norm_ndcg@10,strong_norm_recall@100,strong_norm_mrr@10,heavy_ndcg@10,heavy_recall@100,heavy_mrr@10,heavy_normalized_ndcg@10,heavy_normalized_recall@100,heavy_normalized_mrr@10,formal_vs_informal,formal_vs_normalized,formal_vs_strong_norm,formal_vs_heavy,formal_vs_heavy_normalized
2965,0.9829,1.0,1.0,0.5294,1.0,1.0,0.7157,1.0,1.0,0.9829,1.0,1.0,0.0,0.0,0.0,0.8319,1.0,1.0,0.9027,0.9377,1.0,0.8285,0.9427
298,0.3967,0.5556,1.0,0.3771,0.5556,1.0,0.2224,0.5556,0.5,0.407,0.5556,1.0,0.0,0.0,0.0,0.0708,0.3333,0.1111,0.9406,0.9375,0.9816,0.8719,0.8919
2987,0.4084,0.8889,0.5,0.2624,0.7778,0.3333,0.3405,0.8889,0.5,0.4084,0.8889,0.5,0.0,0.0,0.0,0.0909,0.5556,0.2,0.9532,0.9939,0.9999,0.8191,0.8849
3042,0.5,1.0,0.3333,1.0,1.0,1.0,0.3869,1.0,0.2,0.3869,1.0,0.2,0.0,0.0,0.0,0.3333,1.0,0.1429,0.8972,0.9671,0.9926,0.8392,0.9494
3046,0.4441,0.8,1.0,0.4226,0.8,1.0,0.4284,0.8,1.0,0.4441,0.8,1.0,0.0851,0.1,0.2,0.3301,0.5,1.0,0.9765,0.9929,1.0,0.869,0.8973
3071,0.2372,1.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.2184,1.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.8873,0.8873,0.9981,0.7668,0.8234
3084,0.7757,1.0,1.0,0.1232,0.5,0.125,0.6367,0.75,1.0,0.7877,1.0,1.0,0.0,0.0,0.0,0.5856,0.75,1.0,0.8539,0.8929,0.9887,0.7918,0.8978
310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6309,1.0,0.5,0.9531,0.9748,1.0,0.8583,0.881
3110,0.6131,1.0,1.0,0.6131,0.5,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.0,0.0,0.0,0.6131,1.0,1.0,0.9919,0.9944,0.9999,0.8463,0.9805
3119,0.3585,1.0,0.25,0.0,0.3333,0.0,0.2021,1.0,0.25,0.2021,1.0,0.25,0.0,0.0,0.0,0.2346,0.6667,0.3333,0.8274,0.9528,0.9917,0.7933,0.9258
3121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396,0.9635,0.981,0.8836,0.9091
316,0.7582,0.8,1.0,0.6601,0.8,1.0,0.6601,0.8,1.0,0.6662,0.8,1.0,0.0,0.0,0.0,0.1131,0.4,0.1429,0.9759,0.9745,0.9805,0.8541,0.902
3212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6667,0.0,0.6979,1.0,0.5,0.9685,0.97,0.9957,0.8377,0.9015
3213,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.6309,1.0,0.5,0.9544,0.9554,0.9991,0.8214,0.9151
3227,0.693,1.0,1.0,0.6629,1.0,1.0,0.7484,1.0,1.0,0.693,1.0,1.0,0.6424,1.0,1.0,0.5918,1.0,1.0,0.9744,0.9779,0.9984,0.9376,0.9523
324,0.5087,0.6,1.0,0.0,0.2,0.0,0.1696,0.4,0.3333,0.6552,0.8,1.0,0.0,0.0,0.0,0.4852,0.6,1.0,0.8927,0.9139,0.9915,0.8001,0.8941
3254,0.5925,0.75,0.5,0.1391,0.75,0.1667,0.2983,1.0,0.25,0.5646,0.75,0.5,0.0,0.0,0.0,0.1175,1.0,0.1111,0.9364,0.9463,0.9527,0.8509,0.9183
3273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9224,0.9857,0.9988,0.8293,0.9669
3406,0.5,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,0.6309,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.9843,0.9845,0.9981,0.836,0.943
3452,1.0,1.0,1.0,0.5,1.0,0.3333,0.5,1.0,0.3333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9404,0.9406,1.0,0.8545,0.8754
3472,0.5585,0.75,1.0,0.5585,0.75,1.0,0.5585,0.75,1.0,0.5414,0.75,1.0,0.0,0.0,0.0,0.5585,0.75,1.0,0.987,0.9882,0.9062,0.8402,0.9611
